qnum,Question,Responses,Registered Voters,  Male,  Female,  Democrat,  Republican,  Independent,  White,  Black,  18-39,  40-64,  65+, White Protestant Evangelical,  North,  Atlanta Exurbs,  Atlanta Metro,  Southeast,  Southwest,
28,Do you have more confidence in Hillary Clinton or Donald Trump to deal with taxes?, Hillary Clinton,337,133,204,200,10,91,107,191,118,165,55,19,40,61,120,62,54,
28,,,0.44,0.37,0.5,0.91,0.05,0.39,0.23,0.81,0.47,0.45,0.36,0.14,0.3,0.32,0.61,0.51,0.43,
28,, Donald Trump,363,190,173,17,173,122,319,27,103,176,83,106,83,115,59,46,60,
28,,,0.47,0.53,0.43,0.08,0.85,0.52,0.68,0.11,0.42,0.48,0.56,0.77,0.63,0.6,0.3,0.38,0.48,
28,, Both equally,2,2,1,2,1,-,1,1,-,2,1,1,-,2,-,1,-,
28,,,* ,* ,* ,0.01,* ,- ,* ,* ,- ,* ,* ,* ,- ,0.01,- ,* ,- ,
28,, Neither,42,24,18,1,15,11,30,7,25,16,2,9,7,13,11,9,3,
28,,,0.06,0.07,0.05,0.01,0.07,0.05,0.06,0.03,0.1,0.04,0.01,0.07,0.05,0.07,0.06,0.07,0.02,
28,,No Answer,22,13,9,1,4,8,10,11,3,10,9,3,1,2,6,4,9,
28,,,0.03,0.04,0.02,0.01,0.02,0.04,0.02,0.04,0.01,0.03,0.06,0.02,0.01,0.01,0.03,0.03,0.07,
29,Do you have more confidence in Hillary Clinton or Donald Trump to deal with health care?, Hillary Clinton,400,169,231,214,24,117,140,218,145,194,61,23,45,76,144,71,64,
29,,,0.52,0.47,0.57,0.97,0.12,0.5,0.3,0.92,0.58,0.53,0.41,0.17,0.34,0.4,0.73,0.59,0.51,
29,, Donald Trump,298,159,139,4,155,93,281,5,77,144,77,99,75,101,39,36,48,
29,,,0.39,0.44,0.34,0.02,0.76,0.4,0.6,0.02,0.31,0.39,0.52,0.72,0.57,0.52,0.2,0.3,0.38,
29,, Both equally,6,3,3,*,2,1,6,-,-,2,4,4,-,3,1,2,-,
29,,,0.01,0.01,0.01,* ,0.01,0.01,0.01,- ,- ,* ,0.03,0.03,- ,0.01,* ,0.02,- ,
29,, Neither,34,19,15,*,13,10,23,3,20,12,2,8,5,11,7,6,6,
29,,,0.04,0.05,0.04,* ,0.06,0.04,0.05,0.01,0.08,0.03,0.02,0.06,0.04,0.06,0.03,0.05,0.05,
29,,No Answer,28,11,17,2,9,12,17,10,7,15,5,4,6,2,7,6,8,
29,,,0.04,0.03,0.04,0.01,0.05,0.05,0.04,0.04,0.03,0.04,0.03,0.03,0.05,0.01,0.03,0.05,0.06,
30,Do you have more confidence in Hillary Clinton or Donald Trump to deal with foreign affairs?, Hillary Clinton,412,183,229,209,31,123,164,205,145,207,59,32,47,86,142,67,71,
30,,,0.54,0.51,0.56,0.95,0.15,0.53,0.35,0.87,0.59,0.56,0.4,0.24,0.36,0.45,0.72,0.55,0.56,
30,, Donald Trump,282,146,136,7,143,85,250,15,70,133,79,90,78,86,32,44,43,
30,,,0.37,0.4,0.34,0.03,0.71,0.36,0.54,0.06,0.28,0.36,0.53,0.66,0.59,0.45,0.16,0.36,0.35,
30,, Both equally,3,3,-,-,*,3,3,1,-,1,3,-,-,3,-,-,-,
30,,,* ,0.01,- ,- ,* ,0.01,0.01,* ,- ,* ,0.02,- ,- ,0.02,- ,- ,- ,
30,, Neither,53,22,31,4,24,14,40,8,31,18,3,12,5,17,14,6,11,
30,,,0.07,0.06,0.08,0.02,0.12,0.06,0.08,0.04,0.13,0.05,0.02,0.09,0.03,0.09,0.07,0.05,0.09,
30,,No Answer,16,7,8,1,5,8,10,6,1,8,6,2,2,1,9,5,-,
30,,,0.02,0.02,0.02,* ,0.02,0.03,0.02,0.03,0.01,0.02,0.04,0.02,0.01,* ,0.04,0.04,- ,
31,Do you have more confidence in Hillary Clinton or Donald Trump to deal with terrorism?, Hillary Clinton,341,139,202,198,12,90,121,180,111,175,55,20,38,61,127,55,59,
31,,,0.45,0.39,0.5,0.89,0.06,0.39,0.26,0.76,0.45,0.48,0.37,0.14,0.29,0.32,0.65,0.46,0.47,
31,, Donald Trump,365,194,171,19,172,122,306,39,107,174,84,112,82,116,55,57,55,
31,,,0.48,0.54,0.42,0.09,0.85,0.52,0.66,0.16,0.43,0.47,0.56,0.81,0.63,0.61,0.28,0.47,0.44,
31,, Both equally,5,2,4,1,-,1,4,1,4,1,*,-,4,1,1,*,-,
31,,,0.01,* ,0.01,* ,- ,* ,0.01,0.01,0.02,* ,* ,- ,0.03,* ,* ,* ,- ,
31,, Neither,35,17,18,-,15,13,26,8,24,9,2,5,5,12,6,5,8,
31,,,0.05,0.05,0.04,- ,0.08,0.06,0.06,0.03,0.1,0.03,0.01,0.03,0.04,0.06,0.03,0.04,0.06,
31,,No Answer,19,9,10,4,3,7,10,8,2,9,8,2,3,1,7,4,3,
31,,,0.02,0.02,0.02,0.02,0.01,0.03,0.02,0.04,0.01,0.02,0.06,0.01,0.02,0.01,0.04,0.04,0.02,
32,Do you have more confidence in Hillary Clinton or Donald Trump to fight for the middle class?, Hillary Clinton,388,163,226,212,19,117,137,211,146,185,57,26,44,71,140,67,67,
32,,,0.51,0.45,0.56,0.96,0.09,0.5,0.29,0.89,0.59,0.5,0.38,0.19,0.34,0.37,0.71,0.55,0.53,
32,, Donald Trump,320,168,152,9,164,99,292,9,78,156,85,103,83,101,40,44,52,
32,,,0.42,0.47,0.37,0.04,0.81,0.43,0.63,0.04,0.32,0.43,0.56,0.75,0.63,0.53,0.21,0.36,0.42,
32,, Both equally,*,*,-,-,*,-,*,-,-,*,-,*,-,-,-,*,-,
32,,,* ,* ,- ,- ,* ,- ,* ,- ,- ,* ,- ,* ,- ,- ,- ,* ,- ,
32,, Neither,43,21,22,1,16,10,31,8,22,18,3,7,3,18,10,5,6,
32,,,0.06,0.06,0.05,* ,0.08,0.04,0.07,0.03,0.09,0.05,0.02,0.05,0.03,0.1,0.05,0.04,0.05,
32,,No Answer,15,9,6,-,3,6,6,8,2,8,5,2,1,2,6,5,1,
32,,,0.02,0.02,0.02,- ,0.01,0.03,0.01,0.03,0.01,0.02,0.03,0.01,0.01,0.01,0.03,0.04,0.01,
33,Do you have more confidence in Hillary Clinton or Donald Trump to care about people like you?, Hillary Clinton,368,156,212,212,13,109,121,206,133,181,55,18,46,66,133,64,59,
33,,,0.48,0.43,0.52,0.96,0.06,0.47,0.26,0.87,0.54,0.49,0.36,0.13,0.35,0.35,0.67,0.53,0.47,
33,, Donald Trump,300,157,143,5,162,91,276,10,78,140,81,98,75,94,41,40,50,
33,,,0.39,0.43,0.35,0.02,0.8,0.39,0.59,0.04,0.32,0.38,0.54,0.71,0.57,0.49,0.21,0.33,0.4,
33,, Both equally,5,4,1,1,1,4,5,-,3,2,-,1,1,-,3,1,-,
33,,,0.01,0.01,* ,* ,* ,0.02,0.01,- ,0.01,0.01,- ,0.01,0.01,- ,0.02,0.01,- ,
33,, Neither,78,35,43,3,22,26,55,15,32,35,11,16,7,30,17,12,12,
33,,,0.1,0.1,0.11,0.01,0.11,0.11,0.12,0.06,0.13,0.1,0.07,0.12,0.06,0.15,0.09,0.1,0.1,
33,,No Answer,15,9,6,1,6,3,10,5,2,10,3,3,2,2,3,5,4,
33,,,0.02,0.03,0.01,* ,0.03,0.01,0.02,0.02,0.01,0.03,0.02,0.02,0.01,0.01,0.01,0.04,0.03,
34,Do you have more confidence in Hillary Clinton or Donald Trump to deal with imigration?, Hillary Clinton,387,164,224,211,22,113,150,196,141,188,58,28,48,77,140,59,63,
34,,,0.51,0.45,0.55,0.95,0.11,0.49,0.32,0.83,0.57,0.51,0.39,0.2,0.37,0.4,0.71,0.49,0.5,
34,, Donald Trump,322,173,149,8,154,109,277,27,77,159,84,100,80,102,42,52,46,
34,,,0.42,0.48,0.37,0.04,0.76,0.47,0.59,0.11,0.31,0.43,0.56,0.73,0.61,0.53,0.22,0.43,0.36,
34,, Both equally,4,3,1,-,4,-,4,-,1,-,3,1,-,-,-,-,4,
34,,,0.01,0.01,* ,- ,0.02,- ,0.01,- ,* ,- ,0.02,0.01,- ,- ,- ,- ,0.03,
34,, Neither,40,15,26,2,20,5,29,9,25,13,2,7,2,12,8,6,12,
34,,,0.05,0.04,0.06,0.01,0.1,0.02,0.06,0.04,0.1,0.03,0.02,0.05,0.01,0.06,0.04,0.05,0.1,
34,,No Answer,13,7,5,1,2,5,6,4,2,8,2,1,1,2,6,4,-,
34,,,0.02,0.02,0.01,* ,0.01,0.02,0.01,0.02,0.01,0.02,0.02,0.01,0.01,0.01,0.03,0.03,- ,
35,Would you support or oppose a nationwide ban on the sale of assault weapons?,Support,369,155,214,144,63,115,208,126,134,171,63,64,49,86,124,59,51,
35,,,0.48,0.43,0.53,0.65,0.31,0.49,0.45,0.53,0.54,0.47,0.42,0.46,0.37,0.45,0.63,0.49,0.41,
35,,Oppose,357,191,166,70,130,105,231,100,109,175,73,65,76,92,69,52,67,
35,,,0.47,0.53,0.41,0.32,0.64,0.45,0.49,0.42,0.44,0.48,0.49,0.47,0.58,0.48,0.35,0.43,0.54,
35,,Don't know,41,16,25,7,10,13,28,10,5,22,15,9,6,14,4,10,7,
35,,,0.05,0.04,0.06,0.03,0.05,0.06,0.06,0.04,0.02,0.06,0.1,0.06,0.05,0.07,0.02,0.08,0.06,
36,Would you support or oppose encouraging more people to carry guns legally for use in self defense?,Support,440,233,207,74,157,136,320,92,146,220,73,99,96,117,87,62,78,
36,,,0.57,0.64,0.51,0.34,0.77,0.59,0.69,0.39,0.59,0.6,0.49,0.72,0.73,0.61,0.44,0.51,0.62,
36,,Oppose,291,112,179,136,33,86,124,134,98,129,64,29,28,69,102,51,41,
36,,,0.38,0.31,0.44,0.62,0.16,0.37,0.27,0.57,0.4,0.35,0.43,0.21,0.21,0.36,0.52,0.42,0.32,
36,,Don't know,36,17,19,11,12,11,22,10,4,19,13,9,8,6,8,8,7,
36,,,0.05,0.05,0.05,0.05,0.06,0.05,0.05,0.04,0.01,0.05,0.09,0.07,0.06,0.03,0.04,0.06,0.05,
37,"Would you support or oppose increasing surveillance of people suspected of possible links to terrorism, even if that intrudes on privacy rights?",Support,464,203,261,126,154,132,301,132,129,236,99,95,68,118,114,87,78,
37,,,0.61,0.56,0.65,0.57,0.76,0.57,0.65,0.56,0.52,0.64,0.66,0.69,0.52,0.61,0.58,0.72,0.62,
37,,Oppose,265,140,125,81,44,91,146,89,116,113,35,34,58,65,73,28,40,
37,,,0.35,0.39,0.31,0.37,0.22,0.39,0.31,0.38,0.47,0.31,0.24,0.25,0.44,0.34,0.37,0.23,0.32,
37,,Don't know,38,19,19,14,5,10,19,14,4,18,15,8,5,9,10,6,8,
37,,,0.05,0.05,0.05,0.06,0.02,0.04,0.04,0.06,0.01,0.05,0.1,0.06,0.04,0.05,0.05,0.05,0.06,
38,Would you support or oppose blocking people from buying guns if they appear on the FBI's list of people with possible connections to terrorism?,Support,577,273,304,167,164,188,363,170,196,284,96,106,96,142,156,90,93,
38,,,0.75,0.76,0.75,0.76,0.81,0.81,0.78,0.72,0.79,0.77,0.64,0.77,0.73,0.74,0.8,0.74,0.74,
38,,Oppose,164,73,91,51,34,37,87,61,45,75,44,25,33,37,38,27,29,
38,,,0.21,0.2,0.22,0.23,0.17,0.16,0.19,0.26,0.18,0.2,0.3,0.18,0.25,0.19,0.19,0.23,0.23,
38,,Don't know,25,15,10,3,5,8,16,5,7,9,9,6,2,13,2,4,3,
38,,,0.03,0.04,0.03,0.01,0.02,0.03,0.04,0.02,0.03,0.02,0.06,0.05,0.02,0.07,0.01,0.03,0.03,
39,"Would you say race relations in America are better, worse or about the same today as they were 30 years ago?",Better,232,126,106,82,46,77,141,73,71,100,61,36,44,53,76,27,32,
39,,,0.3,0.35,0.26,0.37,0.23,0.33,0.3,0.31,0.29,0.27,0.41,0.26,0.34,0.28,0.39,0.23,0.25,
39,,Worse,326,162,164,59,117,101,226,75,90,175,60,80,57,86,62,57,63,
39,,,0.43,0.45,0.4,0.27,0.58,0.44,0.48,0.32,0.36,0.48,0.4,0.58,0.44,0.45,0.31,0.47,0.5,
39,,About the same,196,69,127,77,35,49,92,83,80,88,27,18,26,50,57,34,28,
39,,,0.26,0.19,0.31,0.35,0.17,0.21,0.2,0.35,0.32,0.24,0.18,0.13,0.2,0.26,0.29,0.28,0.23,
39,,No answer,13,5,8,3,4,5,7,5,6,4,2,3,4,3,2,2,2,
39,,,0.02,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.03,0.01,0.01,0.02,0.03,0.02,0.01,0.02,0.01,
40,Do you support or oppose gradually raising the minimum wage to $15 an hour?,Support,425,185,239,185,63,133,196,191,114,224,87,45,54,82,135,81,73,
40,,,0.55,0.51,0.59,0.84,0.31,0.57,0.42,0.81,0.46,0.61,0.58,0.33,0.41,0.43,0.69,0.67,0.58,
40,,Oppose,321,167,154,33,132,93,255,42,130,134,57,90,74,105,58,36,48,
40,,,0.42,0.46,0.38,0.15,0.65,0.4,0.55,0.18,0.52,0.36,0.38,0.65,0.56,0.55,0.3,0.29,0.39,
40,,Don't know,21,9,12,4,8,7,15,3,4,10,6,2,4,5,3,4,4,
40,,,0.03,0.02,0.03,0.02,0.04,0.03,0.03,0.01,0.02,0.03,0.04,0.02,0.03,0.03,0.01,0.04,0.04,
