qnum,Question,Responses,Male,Female,Democrat,Republican,Independent,White,Black,Non-white,18-39,40-64,65+,White Protestant Evangelical,North,Atlanta exurbs,Atlanta metro,Southeast,Southwest,,
29,Would you support or oppose a ban on muslims entering the United States?, Support,127,123,52,96,65,170,51,76,58,130,60,45,47,68,38,42,55,,
29,,,0.33,0.31,0.20,0.48,0.31,0.36,0.21,0.24,0.22,0.35,0.39,0.40,0.40,0.31,0.20,0.30,0.43,,
29,,Oppose,238,254,198,89,138,270,181,217,195,217,80,59,62,141,142,85,63,,
29,,,0.62,0.63,0.75,0.45,0.65,0.58,0.73,0.70,0.75,0.59,0.52,0.53,0.53,0.65,0.77,0.60,0.50,,
29,,No answer,20,25,12,13,10,26,15,17,8,24,13,7,9,8,5,14,9,,
29,,,0.05,0.06,0.05,0.07,0.05,0.06,0.06,0.06,0.03,0.06,0.09,0.07,0.07,0.04,0.03,0.10,0.07,,
30,Would you support or oppose a law requiring background checks on people buying guns at gun shows or online?, Support,293,353,235,141,175,366,215,270,232,291,121,82,94,173,160,123,95,,
30,,,0.76,0.88,0.89,0.71,0.82,0.78,0.87,0.87,0.89,0.79,0.79,0.74,0.80,0.80,0.87,0.88,0.74,,
30,,Oppose,82,40,28,48,34,83,31,39,26,68,28,26,22,35,22,14,29,,
30,,,0.21,0.10,0.11,0.24,0.16,0.18,0.13,0.12,0.10,0.18,0.18,0.23,0.19,0.16,0.12,0.10,0.22,,
30,,No answer,11,9,-,9,5,18,1,2,4,11,4,3,1,9,3,3,4,,
30,,,0.03,0.02,- ,0.05,0.02,0.04,* ,0.01,0.02,0.03,0.03,0.03,0.01,0.04,0.02,0.02,0.03,,
