qnum,Question,Responses,Total,   Male,   Female,   Democrat,   Republican,   Independent,   White,   Non-white,   18-39,   40-64,   65+, White Protestant Evangelical,   <$50K,   $50K-<$100K,   $100K+,   Less than college,  College graduate,
33,,Don't know/no answer,12,9,3,4,1,6,5,4,1,8,2,1,3,2,5,4,8,
33,,,0.02,0.02,0.01,0.02,* ,0.02,0.01,0.03,0.01,0.02,0.01,0.01,0.03,0.01,0.01,0.03,0.01,
34,How concerned are you about climate change?,Very or somewhat concerned,493,200,293,207,87,164,347,128,103,291,93,32,63,120,245,85,408,
34,,,0.66,0.56,0.75,0.95,0.43,0.66,0.62,0.84,0.81,0.64,0.60,0.32,0.70,0.75,0.65,0.63,0.67,
34,,Not too or not at all concerned,242,152,90,8,116,82,212,20,24,156,59,67,24,39,131,45,197,
34,,,0.32,0.43,0.23,0.04,0.57,0.33,0.38,0.13,0.19,0.34,0.39,0.67,0.27,0.24,0.35,0.33,0.32,
34,,Don't know/no answer,7,4,3,2,1,3,4,2,-,5,1,1,2,1,2,2,4,
34,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,- ,0.01,0.01,0.01,0.02,0.01,* ,0.02,0.01,
35,How concerned are you about illegal immigration?,Very or somewhat concerned,497,238,259,98,179,165,378,98,81,295,114,83,66,107,241,98,399,
35,,,0.67,0.67,0.67,0.45,0.87,0.66,0.67,0.64,0.63,0.65,0.74,0.83,0.74,0.67,0.64,0.73,0.65,
35,,Not too or not at all concerned,242,115,127,116,26,83,183,53,47,155,39,17,22,53,137,34,208,
35,,,0.32,0.32,0.33,0.53,0.13,0.33,0.32,0.35,0.37,0.34,0.25,0.17,0.24,0.33,0.36,0.25,0.34,
35,,Don't know/no answer,4,2,2,3,-,-,1,2,-,4,-,-,2,-,-,2,2,
35,,,0.01,0.01,0.01,0.02,- ,- ,* ,0.01,- ,0.01,- ,- ,0.02,- ,- ,0.02,* ,
36,How concerned are you about Russian intervention in U.S. affairs?,Very or somewhat concerned,477,196,281,206,87,150,325,130,88,285,99,37,65,105,244,86,392,
36,,,0.64,0.55,0.72,0.95,0.42,0.6,0.58,0.85,0.69,0.62,0.65,0.37,0.72,0.65,0.65,0.64,0.64,
36,,Not too or not at all concerned,257,156,101,11,115,97,230,20,38,165,52,61,23,54,131,47,210,
36,,,0.34,0.44,0.26,0.05,0.56,0.39,0.41,0.13,0.3,0.36,0.34,0.61,0.26,0.34,0.35,0.35,0.34,
36,,Don't know/no answer,10,3,7,-,3,3,7,2,2,5,1,1,2,1,2,2,8,
36,,,0.01,0.01,0.02,- ,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,
37,How concerned are you about the U.S. relationship with other nations?,Very or somewhat concerned,645,291,353,211,164,212,483,137,111,403,125,76,79,140,329,111,534,
37,,,0.86,0.82,0.91,0.97,0.8,0.85,0.86,0.9,0.87,0.89,0.81,0.76,0.88,0.88,0.87,0.82,0.87,
37,,Not too or not at all concerned,97,62,34,6,41,36,77,15,17,50,27,24,10,19,46,24,73,
37,,,0.13,0.17,0.09,0.03,0.2,0.14,0.14,0.1,0.13,0.11,0.18,0.24,0.12,0.12,0.12,0.18,0.12,
37,,Don't know/no answer,3,2,1,-,-,*,2,-,-,2,1,-,*,-,2,-,3,
37,,,* ,0.01,* ,- ,- ,* ,* ,- ,- ,0.01,0.01,- ,* ,- ,0.01,- ,0.01,
